id;ident;type;name;elevation_ft;municipality;iata_code;score
6030;SCMB;closed;La Chimba Airport;131;La Chimba;;50
30366;SCTI;closed;Los Cerrillos Airport;1680;Santiago;ULC;50
32264;SCMN;closed;Mansel Airport;1411;Paine;;50
314770;CL-0001;closed;Bahia Catalina Airport;30;Punta Arenas;;0
314771;CL-0002;closed;Gente Grande Airport;36;Porvenir;;0
314772;CL-0003;closed;Kimiri Ayke Airport;85;;;0
39329;SHAC;heliport;Asociación Chilena de Seguridad Heliport;1969;Santiago;;25
39330;SHAG;heliport;Anguila 1 Heliport;66;Magallanes;;25
39331;SHAH;heliport;Nazareno II Heliport;;Santiago;;25
39332;SHAP;heliport;Asistencia Pública Dr. Alejandro del Río Heliport;1886;Santiago;;25
39333;SHAU;heliport;La Aurora Heliport;696;Curacavi;;25
39334;SHBE;heliport;Banco Exterior Heliport;2000;Santiago;;25
39335;SHBL;heliport;Hospital Ramón Barros Luco Heliport;1805;Santiago;;25
39336;SHBP;heliport;Bahía Los Primos Heliport;574;La Estrella;;25
39337;SHBS;heliport;Banco Santander Heliport;2067;Santiago;;25
39338;SHCA;heliport;Prefectura Aeropolicial de Carabineros Heliport;2070;Santiago;;25
39339;SHCB;heliport;Caburga Heliport;1558;Pucon;;25
39341;SHCG;heliport;Cachagua Heliport;80;Zapallar;;25
39342;SHCI;heliport;San Cristóbal Heliport;98;Zapallar;;25
39343;SHCM;heliport;Corporativo Mutual Heliport;2100;Santiago;;25
39344;SHCP;heliport;Servicios Aéreos Copters Heliport;1509;Rancagua;;25
39345;SHCY;heliport;Hospital de Coyhaique Heliport;915;Coyhaique;;25
39346;SHDG;heliport;Batería Dungenes Nº 1 Heliport;25;Magallanes;;25
39347;SHDN;heliport;Daniel 1 Heliport;98;Magallanes;;25
39348;SHDO;heliport;Valle Nevado Heliport;9858;Farellones;;25
39349;SHDP;heliport;Del Pacifico Heliport;200;Temuco;;25
39350;SHEC;heliport;Edificio Bank Boston Heliport;2270;Santiago;;25
39351;SHEE;heliport;Esmeralda Heliport;574;Yerbas Buenas;;25
39352;SHEH;heliport;Edificio Huidobro Heliport;2470;Santiago;;25
39353;SHEI;heliport;Escuela de Investigaciones Policiales Heliport;1608;Santiago;;25
39354;SHEM;heliport;El Mercurio Heliport;2247;Santiago;;25
39355;SHEQ;heliport;El Conquistador Heliport;1670;Santiago;;25
39356;SHES;heliport;Eso Heliport;7861;Antofagasta;;25
39357;SHET;heliport;San Esteban Heliport;541;Yerbas Buenas;;25
39358;SHFE;heliport;Hospital San Camilo Heliport;2155;San Felipe;;25
39359;SHFR;heliport;San Francisco Heliport;935;Litueche;;25
39360;SHGA;heliport;Gral. Humberto Arriagada Heliport;1903;Santiago;;25
39361;SHGE;heliport;Gertrudis Echeñique Heliport;2270;Santiago;;25
39362;SHHC;heliport;Hospital Clínico Regional de Concepción Heliport;151;Concepcion;;25
39363;SHHE;heliport;Helicopters Heliport;1837;Machali;;25
39364;SHHF;heliport;Hospital FACH Heliport;2574;Santiago;;25
39365;SHHI;heliport;Hospital de Carabineros Heliport;2426;Santiago;;25
39366;SHHL;heliport;Las Condes Heliport;;Santiago;;25
39367;SHHM;heliport;Hospital Militar Heliport;2067;Santiago;;25
39368;SHHN;heliport;Hospital Naval Almirante Nef Heliport;200;Viña Del Mar;;25
39369;SHHR;heliport;Carabineros de Chile Heliport;213;Punta Arenas;;25
39370;SHHS;heliport;Hospital del Salvador Heliport;1910;Santiago;;25
39371;SHHV;heliport;Naval Heliport;12;Arica;;25
39372;SHIQ;heliport;Cuartel Gral. VI División de Ejercito Heliport;26;Iquique;;25
39373;SHJO;heliport;Hospital San José Heliport;1868;Santiago;;25
39374;SHKI;heliport;Kipreos Heliport;1575;Santiago;;25
39375;SHLA;heliport;Las Americas Heliport;2126;Santiago;;25
39376;SHLC;heliport;Lan Courier Heliport;1565;Santiago;;25
39377;SHLP;heliport;La Parva Heliport;9080;Farellones;;25
39378;SHLS;heliport;Las Salinas Heliport;10;Viña Del Mar;;25
39380;SHMB;heliport;Mercedez Benz Heliport;1617;Santiago;;25
39381;SHMD;heliport;Ministerio de Defensa Nacional Heliport;2123;Santiago;;25
39382;SHMS;heliport;Mutual de Seguridad Heliport;1650;Santiago;;25
39383;SHNC;heliport;Catalina Norte 1 Heliport;98;Punta Arenas;;25
39384;SHNL;heliport;Nueva de Lyon Heliport;2192;Santiago;;25
