id;name;year;rank
0;#28;2002;NULL
1;"#7 Train: An Immigrant Journey, The";2000;NULL
2;$;1971;6.4
3;"$1,000 Reward";1913;NULL
4;"$1,000 Reward";1915;NULL
5;"$1,000 Reward";1923;NULL
6;"$1,000,000 Duck";1971;5
7;"$1,000,000 Reward, The";1920;NULL
8;"$10,000 Under a Pillow";1921;NULL
9;$100,000;1915;NULL
10;"$100,000 Pyramid, The";2001;NULL
11;"$1000 a Touchdown";1939;6.7
12;"$20,000 Carat, The";1913;NULL
13;"$21 a Day Once a Month";1941;NULL
14;"$2500 Bride, The";1912;NULL
15;$30;1999;7.5
16;$30,000;1920;NULL
17;"$300 y tickets";2002;NULL
18;$40,000;1996;9.6
19;"$5,000 Reward";1918;NULL
20;"$5,000,000 Counterfeiting Plot, The";1914;NULL
21;$5.15/Hr.;2004;NULL
22;"$5.20 an Hour Dream, The";1980;NULL
23;"$50,000 Challenge, The";1989;NULL
24;"$50,000 Climax Show, The";1975;2.6
25;"$50,000 Jewel Theft, The";1915;NULL
26;"$50,000 Reward";1924;NULL
28;"$500 Reward, The";1911;NULL
29;"$500,000 Reward";1911;NULL
31;$pent;2000;4.3
32;"$ucces Part One";1986;NULL
33;$windle;2002;5.4
34;"& frres";2000;NULL
35;"''Bear'' Facts, The";1914;NULL
36;'15';2002;6.8
37;"'24-25' ne vozvrashchayetsya";1968;NULL
38;'38;1987;6.7
39;'42;1951;NULL
40;"'49, un souffle de colre";1996;NULL
41;'49-'17;1917;5.8
42;"'60s Pop Rock Reunion";2004;NULL
43;"'60s, The";1999;NULL
44;'68;1988;5.5
45;"'70s Celebration: The Beat Is Back, A";1993;NULL
46;"'70s: The Decade That Changed Television, The";2000;NULL
47;"'88 Dodge Aries";2002;NULL
48;"'93 jie tou ba wang";1993;NULL
49;"'94 du bi dao zhi qing";1994;5.7
50;"'?' Motorist, The";1906;6.8
51;'A';1965;7.1
52;"'A' gai waak";1983;7.2
53;"'A' gai waak juk jaap";1987;7.2
54;"'Abbot' and 'Cresceus' Race, The";1901;NULL
55;"'Akasaka no shimai' yori: yoru no wada";1960;NULL
56;"'Amphitrite', The";1897;NULL
57;"'Ang Galing galing mo, Babes'";2002;NULL
58;"'Arriet's Baby";1913;NULL
59;"'Arry and 'Arriet's Evening Out";1909;NULL
60;"'Arry on the Steamboat";1901;NULL
61;"'As se hizo' - Torremolinos 73";2003;NULL
62;"'Babicky dobjejte presne!'";1983;5.6
63;"'Bad Buck' of Santa Ynez";1915;NULL
64;"'Bats' Abound";1999;NULL
65;"'Belle de Varsovie, La'";1993;NULL
66;"'Betty Bee' (sopravvivere d'arte)";1999;NULL
67;"'Billy Elliot' Boy, The";2001;NULL
68;"'Borovo' Institut";1984;NULL
69;"'Breaker' Morant";1980;7.9
70;"'Brennus', Le";1897;NULL
71;"'Broadway Melody of 1940'";1940;7.1
73;"'burbs, The";1989;5.9
74;"'C' Word, The";1993;NULL
